title,price,savings_per,product_link
"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",99,-67%,https://www.amazon.in/ZEBRONICS-Zeb-Comfort-3-Button-Optical-Windows/dp/B079Y6JZC8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-8
"ZEBRONICS Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Black+Grey)",299,-75%,https://www.amazon.in/Zebronics-Zeb-Jaguar-Wireless-Precision-Ambidextrous/dp/B098JYT4SY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-6
"cimetech Wireless Bluetooth Rechargeable Mouse, Portable Lightweight Soundless 2.4G Ergonomic Mouse with LED Lights, Compatible with iPad/Laptop/PC/Mac/Windows - Rosegold","1,099",-27%,https://www.amazon.in/cimetech-Bluetooth-Rechargeable-Lightweight-Compatible/dp/B0CTQ3CH13/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%3Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42&cv_ct_cx=mouse&dib=eyJ2IjoiMSJ9.T6ZY22JFV3WLfk8ejSQxNfeFmSsIpuYKo2v3I2_yDvJpIN4zQPRo56gzTCtoreoAj3bwEZlx88F3bG8N8kCp9A.XrFv5vIJMJuk3A8RloQRFUFVv27nrcjhZim7aYyNHbY&dib_tag=se&keywords=mouse&pd_rd_i=B0CTQ3CH13&pd_rd_r=ff018d6b-38d6-4716-b02f-7831a6434291&pd_rd_w=onzBr&pd_rd_wg=8Abfa&pf_rd_p=ee635213-fee1-408a-be4a-3523feeb9a42&pf_rd_r=WY9WFAFMCJQT1QWXF889&qid=1715327411&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
HP Z3700 Dual Silver Mouse/2.4 GHz Wireless connection/1600 dpi/3 Buttons/Silent clicks; Multi-Device; Cross Operating Systems/3 Years Warranty,"1,199",-40%,https://www.amazon.in/HP-Wireless-connection-Multi-Device-Operating/dp/B0BYDYJLZR/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%3Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42&cv_ct_cx=mouse&dib=eyJ2IjoiMSJ9.T6ZY22JFV3WLfk8ejSQxNfeFmSsIpuYKo2v3I2_yDvJpIN4zQPRo56gzTCtoreoAj3bwEZlx88F3bG8N8kCp9A.XrFv5vIJMJuk3A8RloQRFUFVv27nrcjhZim7aYyNHbY&dib_tag=se&keywords=mouse&pd_rd_i=B0BYDYJLZR&pd_rd_r=ff018d6b-38d6-4716-b02f-7831a6434291&pd_rd_w=onzBr&pd_rd_wg=8Abfa&pf_rd_p=ee635213-fee1-408a-be4a-3523feeb9a42&pf_rd_r=WY9WFAFMCJQT1QWXF889&qid=1715327411&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
HP Z3700 Wireless Optical Mouse with USB Receiver and 2.4GHz Wireless Connection/ 1200DPI / 16 Months Long Battery Life/Ambidextrous and Slim Design (Modern Gold),799,-47%,https://www.amazon.in/HP-Z3700-Wireless-Mouse-Modern/dp/B01KK0HU3Y/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%3Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42&cv_ct_cx=mouse&dib=eyJ2IjoiMSJ9.T6ZY22JFV3WLfk8ejSQxNfeFmSsIpuYKo2v3I2_yDvJpIN4zQPRo56gzTCtoreoAj3bwEZlx88F3bG8N8kCp9A.XrFv5vIJMJuk3A8RloQRFUFVv27nrcjhZim7aYyNHbY&dib_tag=se&keywords=mouse&pd_rd_i=B01KK0HU3Y&pd_rd_r=ff018d6b-38d6-4716-b02f-7831a6434291&pd_rd_w=onzBr&pd_rd_wg=8Abfa&pf_rd_p=ee635213-fee1-408a-be4a-3523feeb9a42&pf_rd_r=WY9WFAFMCJQT1QWXF889&qid=1715327411&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
"ZEBRONICS Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (White+Grey)",299,-75%,https://www.amazon.in/Zebronics-Zeb-Jaguar-Wireless-Precision-Ambidextrous/dp/B098JX4P46/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%3Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42&cv_ct_cx=mouse&dib=eyJ2IjoiMSJ9.T6ZY22JFV3WLfk8ejSQxNfeFmSsIpuYKo2v3I2_yDvJpIN4zQPRo56gzTCtoreoAj3bwEZlx88F3bG8N8kCp9A.XrFv5vIJMJuk3A8RloQRFUFVv27nrcjhZim7aYyNHbY&dib_tag=se&keywords=mouse&pd_rd_i=B098JX4P46&pd_rd_r=ff018d6b-38d6-4716-b02f-7831a6434291&pd_rd_w=onzBr&pd_rd_wg=8Abfa&pf_rd_p=ee635213-fee1-408a-be4a-3523feeb9a42&pf_rd_r=WY9WFAFMCJQT1QWXF889&qid=1715327411&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
"Logitech Pebble Mouse 2 M350s Slim Bluetooth Wireless Mouse, Portable, Lightweight, Customisable Button, Quiet Clicks, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Graphite","1,494",-35%,https://www.amazon.in/Logitech-Bluetooth-Lightweight-Customisable-Easy-Switch/dp/B0CGCZHGW1/ref=sxin_15_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%3Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42&cv_ct_cx=mouse&dib=eyJ2IjoiMSJ9.T6ZY22JFV3WLfk8ejSQxNfeFmSsIpuYKo2v3I2_yDvJpIN4zQPRo56gzTCtoreoAj3bwEZlx88F3bG8N8kCp9A.XrFv5vIJMJuk3A8RloQRFUFVv27nrcjhZim7aYyNHbY&dib_tag=se&keywords=mouse&pd_rd_i=B0CGCZHGW1&pd_rd_r=ff018d6b-38d6-4716-b02f-7831a6434291&pd_rd_w=onzBr&pd_rd_wg=8Abfa&pf_rd_p=ee635213-fee1-408a-be4a-3523feeb9a42&pf_rd_r=WY9WFAFMCJQT1QWXF889&qid=1715327411&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",329,-49%,https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-5
"Portronics Toad 101 Wired Optical Mouse with 1200 DPI, Plug & Play, Hi-Optical Tracking, 1.25M Cable Length, 30 Million Click Life(Black)",117,-77%,https://www.amazon.in/Portronics-Optical-Hi-Optical-Tracking-Million/dp/B0BRKSQ7Z2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-4
"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",296,-51%,https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0B296NTFV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-3
